record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
382,31259020,2019,A Method for Integrating Healthcare Provider Organization and Research Sponsor Systems and Workflows to Support Large-Scale Studies,AMIA Joint Summits on Translational Science Proceedings. AMIA Joint Summits on Translational Science,,,false,true,OD;TR,OD;TR,
383,35511233,2022,Inclusion of social determinants of health improves sepsis readmission prediction models,Journal of the American Medical Informatics Association : JAMIA,3;6;8,,false,true,GM;HG;LM;OD;TR,GM;HG;LM;OD;TR,3:AUC|predictive modeling|interpretability; 6:social determinants of health; 8:sepsis
384,35428700,2022,Condyloma acuminata in under-represented groups: an All of Us database analysis,Sexually Transmitted Infections,,,false,true,,,
387,38742457,2024,To weight or not to weight? The effect of selection bias in 3 large electronic health record-linked biobanks and recommendations for practice,Journal of the American Medical Informatics Association : JAMIA,2;3;5,,false,true,CA;ES;OD,CA;ES;OD;TR,2:genomics|phenome-wide|association study; 3:electronic health record|ICD|EHR|phecode; 5:colorectal cancer|cancer|colorectal
388,38734883,2024,Impact of pruritus on patient fatigue: a cross-sectional study,The British Journal of Dermatology,,,false,true,,,
389,38744179,2024,"Distinguishing vulnerability and resilience to posttraumatic stress disorder evaluating traumatic experiences, genetic risk and electronic health records",Psychiatry Research,2;4,,false,true,DA;MH;OD;TR;VA,DA;MH;OD;TR,2:PheWAS|phenome-wide|genetic risk|association studies|polygenic; 4:PTSD|stress
390,35641727,2022,Medication Affordability and Self-Advocacy Among Racial/Ethnic Minorities in a Nationwide Cohort,Journal of General Internal Medicine,6,,false,true,EY;OD,DE;EY;OD;TR,6:minorities
391,35481920,2022,Atopic Dermatitis in Underrepresented Groups: An All of Us Database Analysis,"Dermatitis : Contact, Atopic, Occupational, Drug",6;12,,false,true,,,6:underrepresented groups|underrepresented; 12:dermatitis|atopic dermatitis
392,36334310,2022,Association of a Multiancestry Genome-Wide Blood Pressure Polygenic Risk Score With Adverse Cardiovascular Events,Circulation. Genomic and Precision Medicine,1;2,,false,true,AG;DK;HC;HG;HL;OD;TR,AG;CA;DK;HG;HL;MH;OD;TR,1:blood pressure|cardiovascular; 2:PRS|whole-genome sequencing|polygenic risk score|genome-wide association|genome-wide|genetic risk|multiancestry|polygenic
393,36841850,2023,A fast privacy-preserving patient record linkage of time series data,Scientific Reports,3;7,,false,true,,,3:privacy-preserving|clustering|data linkage; 7:Fitbit|wearable
