record_id,pubmed_id,year,title,journal,themes,subthemes,is_meta,in_substantive_corpus,admin_ics,cofunding_ics,tag_evidence_summary
1604,40319026,2025,Genetic ancestry and population structure in the All of Us Research Program cohort,Nature Communications,2,,false,true,HG;MD;NS;OD,EY;HG;MD;MH;NR;NS;OD,2:subcontinental|admixture|ancestry|genetic ancestry|genomic
1605,40319838,2025,HDL Cholesterol Is Remarkably Cardioprotective Against Coronary Artery Disease in Native Hawaiians and Pacific Islanders,JACC. Advances,1,,false,true,,,1:type 2 diabetes|T2D|HDL|diabetes|CAD|cardiometabolic|cholesterol|coronary|cardiovascular
1606,40325914,2025,"Adverse effects of obesity on overall health, quality of life, and related physical health metrics: A cross-sectional and longitudinal study from the All of Us Research Program",Journal of Internal Medicine,1;4;13,,false,true,,,1:BMI|obesity; 4:well-being|pain|chronic pain; 13:insomnia
1607,40329612,2025,The Impact of Race and Ethnicity on Cataract Surgery in the Nationwide All of Us Cohort,Ophthalmic Epidemiology,6;18,,false,true,,,6:social determinants of health|disparities|Black participants|race and ethnicity|socioeconomic|Hispanic|equity; 18:cataract
1608,40309770,2025,Inborn errors of immunity underlie clonal T cell expansions in large granular lymphocyte leukemia,The Journal of Clinical Investigation,1;5,,false,true,,,1:clonal hematopoiesis; 5:leukemia|cancer|MDS
1613,40327120,2025,Neurofibromatosis type 1 is associated with neurocognitive and psychiatric disorders in a national database,Archives of Dermatological Research,4;10,,false,true,,,4:psychiatric; 10:neurofibromatosis
1614,40340717,2025,Reproducibility of genetic risk factors identified for long COVID using combinatorial analysis across US and UK patient cohorts with diverse ancestries,Journal of Translational Medicine,2;6;8,,false,true,,,2:GWAS|genome-wide|association studies|genome-wide association|loci|ancestry|genetic risk; 6:Latino|Hispanic|equity; 8:SARS-CoV-2|long COVID|infection
1616,40338046,2025,Sexual identity differences in ideal cardiovascular health among cisgender adults in the All of Us Research Program,Annals of Behavioral Medicine : A Publication of the Society of Behavioral Medicine,1;6,,false,true,HL;NR;OD;TR,HG;HL;NR;OD;TR,1:CVD|cardiovascular; 6:sexual minority|minority|bisexual|disparities|lesbian|Hispanic|gay
1632,40342636,2025,Exploring the metabolic signature of intermittent explosive disorder: Preliminary evidence and potential mechanisms for altered bilirubin metabolism,Comprehensive Psychoneuroendocrinology,,,false,true,AA,AA,
1636,40370339,2025,Prevalence and Treatment of Dysphonia in Parkinson's Disease: A Cross-Sectional National Database Study,Laryngoscope Investigative Otolaryngology,3;6;11;18,,false,true,,,3:ICD|ICD-10; 6:disparities|socioeconomic|Hispanic; 11:Parkinson's disease|Parkinson; 18:dysphonia|otolaryngology
1637,40354632,2025,Prevalence of Multiple Chronic Conditions Among Adults in the All of Us Research Program: Exploratory Analysis,JMIR Formative Research,1;3;4,,false,true,NR,NR,1:hypertension|cardiometabolic|hyperlipidemia; 3:Researcher Workbench|AoU Researcher Workbench|electronic health record|notebook|workbench|EHR|ICD|ICD-10; 4:anxiety|pain|mental health|chronic pain|depressive
1638,40361456,2025,Fatigue Level Associated with Quality of Life for Prostate Cancer Patients: Results from the All of Us Research Program,Cancers,4;5,,false,true,,,4:well-being|mental health; 5:prostate cancer|survivorship|cancer
1651,40315464,2025,Comorbidities and Lifestyle Risk Factors Associated With Scabies Infestation,Cutis,12,,false,true,,,12:scabies
1652,40395398,2025,Opportunities amid complexities in returning genetic results to black precision medicine research participants: Interview themes in context with open all of us data,Journal of Clinical and Translational Science,2;16,,false,true,,,2:ancestry|genomic; 16:CYP2C19|pharmacogenomic
1653,40372213,2025,Food Insecurity and Clinical Biomarkers of Inflammation among Cancer Survivors in the All of Us Research Program,"Cancer Epidemiology, Biomarkers & Prevention : A Publication of the American Association for Cancer Research, Cosponsored by the American Society of Preventive Oncology",5;6,,false,true,,,5:colorectal cancer|cancer survivors|colorectal|cancer; 6:minorities|income|Hispanic|underrepresented|food insecurity
1654,40377722,2025,Congenital ichthyosis is associated with cutaneous malignancies in a case-control study,Archives of Dermatological Research,5;12,,false,true,,,5:carcinoma|melanoma|skin cancer|cancer|malignancy; 12:basal cell carcinoma|squamous cell carcinoma|ichthyosis|skin cancer|cutaneous|actinic keratosis
1655,40379038,2025,Fitbit-measured physical activity is inversely associated with incident atrial fibrillation among All of Us participants,American Heart Journal,1;2;3;7,,false,true,,,1:atrial fibrillation|BMI; 2:genetic risk score|genetic risk|genomic; 3:electronic health record|EHR; 7:Fitbit|physical activity
1656,40383690,2025,Socioeconomic Disparities in Intravitreal Injection Use and Anti-VEGF Agent Selection: Aflibercept/Ranibizumab Versus Bevacizumab,Clinical Therapeutics,6;18,,false,true,,,6:disparities|socioeconomic|income|Hispanic|low-income|underrepresented|health literacy; 18:diabetic retinopathy|macular degeneration|retinopathy|retinal|macular
1657,40397457,2025,Polygenic Prediction of Peripheral Artery Disease and Major Adverse Limb Events,JAMA Cardiology,1;2,,false,true,,,1:diabetes|kidney disease; 2:PRS|polygenic score|polygenic|multiancestry
1658,40398747,2025,Pregnancy and Diabetic Retinopathy: A Report From the All of Us Research Program,Ophthalmology. Retina,1;15;18,,false,true,EY,EY,1:diabetic; 15:pregnancy; 18:diabetic retinopathy|retinopathy
1659,40375815,2025,Micronutrients and Chronic Pain: A Cross-Sectional Analysis,Pain Practice : The Official Journal of World Institute of Pain,4,,false,true,,,4:pain|chronic pain
1661,40398830,2025,Impacts of sample weighting on transferability of risk prediction models across EHR-Linked biobanks with different recruitment strategies,Journal of Biomedical Informatics,1;3;4;5;6;17,,false,true,CA,CA,1:hypertension|BMI; 3:electronic health record|AUC|EHR|random forest|risk prediction; 4:depression|smoking; 5:liver cancer|cancer; 6:underrepresented groups|underrepresented; 17:recruitment
