record_id,pubmed_id,year,themes,focus_areas,n_focus_areas,is_orphan_pub,title
145,36715356,2023,4;9;12;13,FA1;FA5;FA7,3,0,The association of anxiety with granuloma annulare: a case-control study of the National Institutes of Health 'All of Us' research programme
146,36120878,2022,6;17,FA4;FA7,2,0,Establishing a National Engagement Strategy for Recruiting Asian Americans and Other Minorities into Biomedical Research
147,35662804,2022,6;18,FA1;FA7,2,0,Social Determinants of Health Data Availability for Patients with Eye Conditions
148,35659155,2022,,,0,1,Systemic diseases associated with a diagnosis of achalasia: A case-control study with the All of Us research program
151,38499963,2024,4;5;6;19,FA1;FA5;FA6;FA7;FA8,5,0,The association between neighborhood social and built environment on loneliness among young adults with cancer
152,36152694,2022,4;12,FA1;FA5;FA7,3,0,Alcohol use disorder among adults with atopic dermatitis: A case-control study in the All of Us research program
153,34920126,2021,3,,0,1,Membership inference attacks against synthetic health data
155,32004412,2020,17,FA4;FA7,2,0,Approach to High Volume Enrollment in Clinical Research: Experiences from an All of Us Research Program Site
156,35895053,2022,4;6;8,FA1;FA5;FA7,3,0,Association of Everyday Discrimination With Depressive Symptoms and Suicidal Ideation During the COVID-19 Pandemic in the All of Us Research Program
157,36378394,2022,1;6,FA1;FA7;FA8,3,0,Inadequate Use of Newer Treatments and Glycemic Control by Cardiovascular Risk and Sociodemographic Groups in US Adults with Diabetes in the NIH Precision Medicine Initiative All of Us Research Program
158,36396674,2022,1;6;11,FA1;FA3;FA7;FA8,4,0,Investigation of hypertension and type 2 diabetes as risk factors for dementia in the All of Us cohort
159,36702164,2023,7;15,FA2,1,0,Linking Electronic Health Records With Wearable Technology From the All of Us Research Program
160,36652671,2023,1;2;6,FA1;FA7;FA8,3,0,A practical approach to curate clonal hematopoiesis of indeterminate potential in human genetic data sets
162,36669173,2023,12;14,FA1;FA7,2,0,Migraine among adults with atopic dermatitis: a cross-sectional study in the All of Us research programme
163,36681081,2023,10,FA1;FA4;FA8,3,0,"Functional interpretation, cataloging, and analysis of 1,341 glucose-6-phosphate dehydrogenase variants"
166,36436011,2022,9;12,FA1;FA7,2,0,Association of sarcoidosis with psoriasis: a cross-sectional study in the All of Us research program
168,39567044,2024,1;2;4;6,FA1;FA5;FA7;FA8,4,0,"Associations of Self-Reported Race, Social Determinants of Health, and Polygenic Risk With Coronary Heart Disease"
169,36928128,2023,1;6;18,FA1;FA7;FA8,3,0,Racial Disparities in Barriers to Care for Patients With Diabetic Retinopathy in a Nationwide Cohort
170,36836203,2023,1,FA1;FA8,2,0,Dyslipidemia Treatment and Lipid Control in US Adults with Diabetes by Sociodemographic and Cardiovascular Risk Groups in the NIH Precision Medicine Initiative All of Us Research Program
171,29385589,2018,2;17,FA4;FA7;FA8,3,0,The research participant perspective related to the conduct of genomic cohort studies: A systematic review of the quantitative literature
172,36414097,2022,6;12,FA1;FA7,2,0,Vitiligo in underrepresented communities: An All of Us database analysis
173,34969350,2021,6;18,FA1;FA7,2,0,Social determinants associated with loss of an eye in the United States using the All of Us nationwide database
182,36746242,2023,6;18,FA1;FA7,2,0,Associations between Socioeconomic Factors and Visit Adherence among Patients with Glaucoma in the All of Us Research Program
187,37081803,2023,12,FA1;FA7,2,0,Association between atopic dermatitis and eosinophilic esophagitis: a cross-sectional study in the All of Us Research Program
188,37072623,2023,1;2,FA1;FA8,2,0,"Common and rare variants associated with cardiometabolic traits across 98,622 whole-genome sequences in the All of Us research program"
191,37200348,2023,6,FA7,1,0,Importance of missingness in baseline variables: A case study of the All of Us Research Program
192,37188476,2023,3;6;8,FA1;FA7,2,0,Protocol for developing a personalised prediction model for viral suppression among under-represented populations in the context of the COVID-19 pandemic
193,37178685,2023,,,0,1,Declining autozygosity over time: An exploration in over 1 million individuals from three diverse cohorts
200,36712313,2022,1;2;4;10,FA1;FA4;FA5;FA8,4,0,Cannabis Use and CKD: Epidemiological Associations and Mendelian Randomization
205,37218289,2023,3;8,FA1,1,0,De-black-boxing health AI: demonstrating reproducible machine learning computable phenotypes using the N3C-RECOVER Long COVID model in the All of Us data repository
206,37216451,2023,1;2;11;14,FA1;FA3;FA8,3,0,Higher Hospital Frailty Risk Score Is Associated With Increased Risk of Stroke: Observational and Genetic Analyses
207,37398505,2023,6;9;14,FA1;FA7,2,0,Risk Factors for Multiple Sclerosis Development After Optic Neuritis Diagnosis Using a Nationwide Health Records Database
208,37356625,2023,9;12,FA1;FA7,2,0,Examining the burden of psoriasis and psoriatic arthritis in a US adult cohort using the All of Us Research Program
211,37523618,2023,6;18,FA1;FA7,2,0,"Racial, Ethnic, and Socioeconomic Disparities in Glaucoma Onset and Severity in a Diverse Nationwide Cohort in the United States"
214,36883588,2023,4;12;13,FA1;FA5;FA7,3,0,"Association of alopecia areata with alcohol use disorder, attention-deficit hyperactivity disorder and insomnia: a case-control analysis using the All of Us research programme"
215,38097619,2023,1;2;10,FA1;FA4;FA8,3,0,Polygenic risk alters the penetrance of monogenic kidney disease
217,37585212,2023,6,FA7,1,0,Representation of Race and Ethnicity in the Contemporary US Health Cohort All of Us Research Program
218,37603847,2023,9,FA1,1,0,Prevalence and Treatment Patterns of Inflammatory Bowel Disease in the All of Us Research Program
219,37611751,2023,1;16,FA1;FA4;FA8,3,0,Effect of Metformin Use on Vitamin B12 Deficiency Over Time (EMBER): A Real-World Evidence Database Study
220,37594966,2023,3;4;6,FA1;FA5;FA7,3,0,"Examining sociodemographic correlates of opioid use, misuse, and use disorders in the All of Us Research Program"
221,37679534,2023,5;6,FA1;FA7;FA8,3,0,Nativity differences in socioeconomic barriers and healthcare delays among cancer survivors in the All of Us cohort
226,36398985,2022,6,FA7,1,0,Achieving a Representative Sample of Asian Americans in Biomedical Research Through Community-Based Approaches: Comparing Demographic Data in the All of Us Research Program With the American Community Survey
227,36458881,2022,1;7,FA1;FA8,2,0,Association of Longitudinal Activity Measures and Diabetes Risk: An Analysis From the National Institutes of Health All of Us Research Program
229,36727790,2023,4;6;18,FA1;FA5;FA7,3,0,Evaluation of Depression and Anxiety in a Diverse Population With Thyroid Eye Disease Using the Nationwide NIH All of Us Database
