record_id,pubmed_id,year,title,themes,ic_admin_original,ic_admin_reattributed,cofunding_ics_original,fractional_attribution
152,36152694,2022,Alcohol use disorder among adults with atopic dermatitis: A case-control study in the All of Us research program,4;12,OD,NIMH(0.35);NIAMS(0.35);NCI(0.15);NIDA(0.10);NIAAA(0.05),OD;TR,NIMH(0.350);NIAMS(0.350);NCI(0.150);NIDA(0.100);NIAAA(0.050)
153,34920126,2021,Membership inference attacks against synthetic health data,3,OD;TR,OD;TR,OD;TR,NLM(1.000)
155,32004412,2020,Approach to High Volume Enrollment in Clinical Research: Experiences from an All of Us Research Program Site,17,OD,NIH-Wide(0.70);NHGRI(0.30),OD,NIH-Wide(0.700);NHGRI(0.300)
156,35895053,2022,Association of Everyday Discrimination With Depressive Symptoms and Suicidal Ideation During the COVID-19 Pandemic in the All of Us Research Program,4;6;8,OD,NIMHD(0.33);NIAID(0.33);NIMH(0.23);NIDA(0.07);NIAAA(0.03),OD,NIMHD(0.333);NIAID(0.333);NIMH(0.233);NIDA(0.067);NIAAA(0.033)
157,36378394,2022,Inadequate Use of Newer Treatments and Glycemic Control by Cardiovascular Risk and Sociodemographic Groups in US Adults with Diabetes in the NIH Precision Medicine Initiative All of Us Research Program,1;6,OD,NIMHD(0.50);NHLBI(0.35);NIDDK(0.15),OD;TR,NIMHD(0.500);NHLBI(0.350);NIDDK(0.150)
158,36396674,2022,Investigation of hypertension and type 2 diabetes as risk factors for dementia in the All of Us cohort,1;6;11,MD;OD,MD;OD,AG;AI;AR;HL;MD;OD;TR,NIMHD(0.333);NIA(0.267);NHLBI(0.233);NIDDK(0.100);NINDS(0.067)
159,36702164,2023,Linking Electronic Health Records With Wearable Technology From the All of Us Research Program,7;15,,,,NICHD(0.500);NIBIB(0.250);NHLBI(0.100);NIDDK(0.075);NIMH(0.075)
160,36652671,2023,A practical approach to curate clonal hematopoiesis of indeterminate potential in human genetic data sets,1;2;6,CA;DK;HL;OD;OH,CA;DK;HL;OD;OH,AG;CA;DE;DK;HL;MD;OD;OH;RR,NHGRI(0.333);NIMHD(0.333);NHLBI(0.233);NIDDK(0.100)
162,36669173,2023,Migraine among adults with atopic dermatitis: a cross-sectional study in the All of Us research programme,12;14,,,,NINDS(0.500);NIAMS(0.350);NCI(0.150)
163,36681081,2023,"Functional interpretation, cataloging, and analysis of 1,341 glucose-6-phosphate dehydrogenase variants",10,CA;GM;HG;OD,CA;GM;HG;OD,CA;GM;HG;OD,NCATS(0.500);NHGRI(0.500)
166,36436011,2022,Association of sarcoidosis with psoriasis: a cross-sectional study in the All of Us research program,9;12,,,,NIAMS(0.600);NIAID(0.250);NCI(0.150)
168,39567044,2024,"Associations of Self-Reported Race, Social Determinants of Health, and Polygenic Risk With Coronary Heart Disease",1;2;4;6,,,,NHGRI(0.250);NIMHD(0.250);NHLBI(0.175);NIMH(0.175);NIDDK(0.075);NIDA(0.050);NIAAA(0.025)
169,36928128,2023,Racial Disparities in Barriers to Care for Patients With Diabetic Retinopathy in a Nationwide Cohort,1;6;18,DK;EY;OD,DK;EY;OD,DE;DK;EY;OD;TR,NIMHD(0.333);NEI(0.333);NHLBI(0.233);NIDDK(0.100)
170,36836203,2023,Dyslipidemia Treatment and Lipid Control in US Adults with Diabetes by Sociodemographic and Cardiovascular Risk Groups in the NIH Precision Medicine Initiative All of Us Research Program,1,OD,NHLBI(0.70);NIDDK(0.30),OD;TR,NHLBI(0.700);NIDDK(0.300)
171,29385589,2018,The research participant perspective related to the conduct of genomic cohort studies: A systematic review of the quantitative literature,2;17,CA,CA,CA,NHGRI(0.650);NIH-Wide(0.350)
