pubmed_id,year,title,journal,themes,subthemes,publication_types
30592535,2019,Longitudinal Drinking Patterns and Their Clinical Correlates in Million Veteran Program Participants.,"Alcoholism, clinical and experimental research",4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
30578418,2019,"Trans-ethnic association study of blood pressure determinants in over 750,000 individuals.",Nature genetics,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
30425582,2018,A phenotyping algorithm to identify acute ischemic stroke accurately from a national biobank: the Million Veteran Program.,Clinical epidemiology,1;3;14,14.2-stroke-cerebro,Journal Article
30275531,2018,"Genetics of blood lipids among ~300,000 multi-ethnic participants of the Million Veteran Program.",Nature genetics,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
30090940,2018,Association of Interleukin 6 Receptor Variant With Cardiovascular Disease Effects of Interleukin 6 Receptor Blocking Therapy: A Phenome-Wide Association Study.,JAMA cardiology,1;2;3,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
29972609,2018,AUDIT-C and ICD codes as phenotypes for harmful alcohol use: association with ADH1B polymorphisms in two US populations.,"Addiction (Abingdon, England)",3;4,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, U.S. Gov't, Non-P.H.S."
29844141,2018,Interdisciplinary Models for Research and Clinical Endeavors in Genomic Medicine: A Scientific Statement From the American Heart Association.,Circulation. Genomic and precision medicine,1;2;14,,Journal Article;Review
29753396,2018,Prevalence of Ideal Cardiovascular Health Metrics in the Million Veteran Program.,The American journal of cardiology,1,,"Journal Article;Multicenter Study;Research Support, U.S. Gov't, Non-P.H.S."
29680824,2018,DASH Score and Subsequent Risk of Coronary Artery Disease: The Findings From Million Veteran Program.,Journal of the American Heart Association,1,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
29580627,2018,Alcohol Consumption and Risk of Coronary Artery Disease (from the Million Veteran Program).,The American journal of cardiology,1;4,,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S."
33117892,2018,Baseline Characterization and Annual Trends of Body Mass Index for a Mega-Biobank Cohort of US Veterans 2011-2017.,Journal of health research and reviews in developing countries,1;4,,Journal Article
27237867,2016,Accelerating the Development and Validation of New Value-Based Diagnostics by Leveraging Biobanks.,Public health genomics,,,Journal Article
27128302,2016,Precision Medicine in Gastrointestinal Pathology.,Archives of pathology & laboratory medicine,2;5,,Journal Article;Review
26441289,2016,Million Veteran Program: A mega-biobank to study genetic influences on health and disease.,Journal of clinical epidemiology,,,"Journal Article;Observational Study;Research Support, U.S. Gov't, Non-P.H.S."
22538255,2012,Preferences for opt-in and opt-out enrollment and consent models in biobank research: a national survey of Veterans Administration patients.,Genetics in medicine : official journal of the American College of Medical Genetics,17,,Journal Article
