pubmed_id,year,title,journal,themes,subthemes,publication_types
32791511,2020,Investigation of the Causal Association between Long-Chain n-6 Polyunsaturated Fatty Acid Synthesis and the Risk of Type 2 Diabetes: A Mendelian Randomization Analysis.,Lifestyle genomics,1;2;10,,"Journal Article;Research Support, Non-U.S. Gov't"
32791383,2020,"The associations between loneliness, social exclusion and pain in the general population: A N=502,528 cross-sectional UK Biobank study.",Journal of psychiatric research,4,,"Journal Article;Research Support, Non-U.S. Gov't"
32791209,2020,Depressive and anxiety symptomatology among people with asthma or atopic dermatitis: A population-based investigation using the UK Biobank data.,"Brain, behavior, and immunity",4;12;13,,"Journal Article;Research Support, Non-U.S. Gov't"
32790217,2020,A single nucleotide polymorphism genetic risk score to aid diagnosis of coeliac disease: a pilot study in clinical care.,Alimentary pharmacology & therapeutics,2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32778766,2020,Expanding cancer predisposition genes with ultra-rare cancer-exclusive human variations.,Scientific reports,5,,Journal Article
32769997,2020,GWAS of thyroid stimulating hormone highlights pleiotropic effects and inverse association with thyroid cancer.,Nature communications,2;5,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32766777,2020,Medical and neurobehavioural phenotypes in male and female carriers of Xp22.31 duplications in the UK Biobank.,Human molecular genetics,1;4;12,,"Journal Article;Research Support, Non-U.S. Gov't"
32764582,2020,Sibling validation of polygenic risk scores and complex trait prediction.,Scientific reports,2;5,,"Journal Article;Research Support, Non-U.S. Gov't"
32763175,2020,The Coupon Collection Behavior in Human Reproduction.,Current biology : CB,,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32762905,2020,Validation of a Genome-Wide Polygenic Score for Coronary Artery Disease in South Asians.,Journal of the American College of Cardiology,1;2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Validation Study"
32761538,2021,Gluten intake and metabolic health: conflicting findings from the UK Biobank.,European journal of nutrition,1,,Journal Article
32758451,2020,Combined Utility of 25 Disease and Risk Factor Polygenic Risk Scores for Stratifying Risk of All-Cause Mortality.,American journal of human genetics,2,,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32758448,2020,Loss-of-Function Myeloperoxidase Mutations Are Associated with Increased Neutrophil Counts and Pustular Skin Disease.,American journal of human genetics,2;12,,"Journal Article;Research Support, Non-U.S. Gov't"
32757644,2020,Kidney Disease Biomarkers Improve Heart Failure Risk Prediction in the General Population.,Circulation. Heart failure,1;3,,"Journal Article;Research Support, Non-U.S. Gov't"
