pubmed_id,year,title,journal,themes,subthemes,publication_types
40715462,2025,Lipidomic and transcriptomic profiling reveal alterations in the coexistence of gestational diabetes mellitus and preeclampsia impacting maternal and neonatal outcomes.,Scientific reports,1;4;15,,Journal Article
40714005,2025,Genetic analyses of eight complex diseases using predicted continuous representations of disease.,Cell reports methods,2,,Journal Article
40711530,2026,Sleep traits and physical activity mediate the causal association between depression and age-related diseases.,European archives of psychiatry and clinical neuroscience,1;2;4;7,,Journal Article;Meta-Analysis
40708517,2025,Multi-omic Data Integration Reveals Drug Targets of Skin Fibrosis.,Current medicinal chemistry,2;3;12,,Journal Article
40707728,2025,The use of statins can reduce the risk of osteoarthritis and osteoporosis.,Inflammopharmacology,2,,Journal Article
40704698,2026,Associations between kisspeptin hormone level and its genetic polymorphisms with polycystic ovary syndrome.,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,2;15,,Journal Article;Meta-Analysis
40701953,2025,Genome-wide association study of pulpal and apical diseases.,Nature communications,2,,Journal Article
40699496,2025,Homocysteine and risk of interstitial lung disease: A mendelian randomization approach to causal inference.,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",2;9;10;13,,Journal Article
40699416,2026,Unraveling the causal link between inflammatory cytokines and hypertensive renal disease: a Mendelian randomization analysis.,International urology and nephrology,1;2;10,,Journal Article
40697619,2025,The Negative Feedback of the Glutamine/Prostatitis Loop Identified Among 1400 Metabolites and Prostatitis via Mendelian Randomization.,Mediators of inflammation,2;10,,Journal Article
40696660,2025,Causal relationship between cardiovascular diseases and vestibular dysfunction: A 2-sample Mendelian randomization study.,Medicine,1;2;10,,Journal Article
40696598,2025,Mendelian randomization analysis of C-reactive protein on septic arthritis risk.,Medicine,2;10,,Journal Article
40696067,2025,Genetically proxied inhibition of Phosphodiesterase-5 and cancer risks: A drug-target Mendelian randomization analysis.,Scientific reports,2;5;10,,Journal Article
40695667,2025,Association between gut microbiota and disorders of lipoprotein metabolism: a two sample Mendelian randomization study.,"Nutrition, metabolism, and cardiovascular diseases : NMCD",1;2;10,,Journal Article
40695397,2026,Proteome-wide Mendelian randomization and colocalization analyses identify novel protein targets for cardiac conduction disorders.,Journal of cardiology,1;2;10,,Journal Article
40694910,2025,Plastic additive bisphenol S induces depression by promoting AZU1/CTSD proteins to mediate plasma-related proteins and metabolites: A comprehensive multi-omics analysis.,Ecotoxicology and environmental safety,2;4,,Journal Article
40694027,2025,CIRCULATING INFLAMMATORY PROTEINS IN DRUG-INDUCED ANAPHYLACTIC SHOCK: EVIDENCE FROM MULTIVARIABLE MENDELIAN RANDOMIZATION AND MULTIOMICS INTEGRATION.,"Shock (Augusta, Ga.)",2;10;16,,Journal Article
40693144,2025,Bifidobacterium depletion promotes goiter via gut-thyroid axis: evidence from Mendelian randomization and experimental validation.,Frontiers in microbiology,2;10,,Journal Article
