pubmed_id,year,title,journal,themes,subthemes,publication_types
40304040,2025,Proteome-Wide Genetic Study in East Asians and Europeans Identified Multiple Therapeutic Targets for Ischemic Stroke.,Stroke,1;2;14,1.4-stroke-cardio;14.2-stroke-cerebro,Journal Article
40297899,2025,Causal Relevance of Lp(a) for Coronary Heart Disease and Stroke Types in East Asian and European Ancestry Populations: A Mendelian Randomization Study.,Circulation,1;2;10;14,1.4-stroke-cardio;14.2-stroke-cerebro,Journal Article
40274560,2025,[Associations of plasma metabolites with mortality in Chinese adults: a prospective study].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1;3,,English Abstract;Journal Article
40274559,2025,[Prospective association between liver biomarkers and mortality risk in Chinese middle-aged and elderly populations].,Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,3;11,,English Abstract;Journal Article
40258204,2025,Prevalence and 10-Year Risk of Intracerebral Hemorrhage in Central China Using Estimates From the 1 Million Cross-Sectional Study.,Neurology,1;14,,Journal Article
40181317,2025,"Natural environmental factors at birth on risk for rheumatoid arthritis: the impact of season, temperature, latitude, and sunlight exposure.",BMC public health,9,,Journal Article
40128564,2025,Lactation duration and ischemic heart disease among parous postmenopausal females from a prospective cohort study.,Communications medicine,1;15,,Journal Article
40113396,2025,"[Association between body mass index and calcaneus bone mineral density in adults in a cross-sectional study in Tongxiang, Zhejiang Province].",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,1,,English Abstract;Journal Article
40077736,2025,Patterns and Correlates of Bone Mineral Density Parameters Measured Using Calcaneus Quantitative Ultrasound in Chinese Adults.,Nutrients,,,Journal Article
40059156,2025,Socioeconomic variations in the proportions of stroke attributable to reproductive profiles among postmenopausal women in China.,BMC medicine,1;6;14;15,14.2-stroke-cerebro,Journal Article
40050560,2025,Construction and validation of a DNN-based biological age and its influencing factors in the China Kadoorie Biobank.,GeroScience,11,,"Journal Article;Validation Study;Research Support, Non-U.S. Gov't"
40019942,2025,Polygenic risk scores for pan-cancer risk prediction in the Chinese population: A population-based cohort study based on the China Kadoorie Biobank.,PLoS medicine,2;3;5,,Journal Article
39968650,2026,"Associations of total, domain-specific, and intensity-specific physical activity with all-cause and cause-specific mortality in China: A population-based cohort study.",Chinese medical journal,1;7,,Journal Article
39947200,2025,Physical Activity and Ischemic Heart Disease Risk: A Prospective Cohort Study Among Chinese Adults.,Journal of physical activity & health,1;7,,Journal Article
